20180101-12:00:00   0.583500 14.75
20180102-12:00:00   0.542800 14.19
20180103-12:00:00   0.528300 16.59
20180104-12:00:00   0.511900 16.51
20180105-12:00:00   0.491800 16.4
20180106-12:00:00   0.549500 14.34
20180107-12:00:00   0.538200 13.25
20180108-12:00:00   0.688100 12.16
20180109-12:00:00   0.687200 12.5
20180110-12:00:00   0.687500 13.14
20180111-12:00:00   0.682600 12.05
20180112-12:00:00   0.671100 12.12
20180113-12:00:00   0.698400 12.46
20180114-12:00:00   0.672000 12.65
20180115-12:00:00   0.685500 12.88
20180116-12:00:00   0.683000 13.85
20180117-12:00:00   0.678200 14.23
20180118-12:00:00   0.671600 13.77
20180119-12:00:00   0.677600 12.88
20180120-12:00:00   0.681800 13.51
20180121-12:00:00   0.708100 16.48
20180122-12:00:00   0.702900 15.88
20180123-12:00:00   0.695600 14.94
20180124-12:00:00   0.710700 14.9
20180125-12:00:00   0.700500 14.86
20180126-12:00:00   0.824000 12.31
20180127-12:00:00   0.758300 12.16
20180128-12:00:00   0.766900 14.6
20180129-12:00:00   0.768000 13.92
20180130-12:00:00   0.772100 13.14
20180131-12:00:00   0.779900 13.06
20180201-12:00:00   0.804400 11.34
20180202-12:00:00   0.799300 11.22
20180203-12:00:00   0.827200 11.23
20180204-12:00:00   1.130000 10.55
20180205-12:00:00   1.300000 11.38
20180206-12:00:00   1.482000 11.04
20180207-12:00:00   1.777000 10.7
20180208-12:00:00   2.106000 7.062
20180209-12:00:00   2.364000 9.425
20180210-12:00:00   2.562000 10.51
20180211-12:00:00   2.702000 11.49
20180212-12:00:00   2.802000 10.51
20180213-12:00:00   2.775000 9.163
20180214-12:00:00   2.713000 11.45
20180215-12:00:00   2.618000 13.51
20180216-12:00:00   2.510000 14.23
20180217-12:00:00   2.395000 13.33
20180218-12:00:00   2.288000 13.85
20180219-12:00:00   2.207000 13.59
20180220-12:00:00   2.120000 14.23
20180221-12:00:00   2.031000 11.3
20180222-12:00:00   1.951000 10.7
20180223-12:00:00   1.886000 10.77
20180224-12:00:00   1.834000 10.89
20180225-12:00:00   1.762000 13.44
20180226-12:00:00   1.710000 10.06
20180227-12:00:00   1.633000 7.775
20180228-12:00:00   1.687000 8.113
20180301-12:00:00   1.591000 13.78
20180302-12:00:00   1.599000 14.97
20180303-12:00:00   1.601000 16.51
20180304-12:00:00   1.627000 15.8
20180305-12:00:00   1.685000 14.08
20180306-12:00:00   1.726000 14.56
20180307-12:00:00   1.780000 13.7
20180308-12:00:00   1.814000 13.25
20180309-12:00:00   1.829000 14.49
20180310-12:00:00   1.931000 16.03
20180311-12:00:00   1.885000 16.81
20180312-12:00:00   1.857000 15.91
20180313-12:00:00   1.779000 14
20180314-12:00:00   1.696000 14.23
20180315-12:00:00   1.625000 16.7
20180316-12:00:00   1.534000 15.39
20180317-12:00:00   1.450000 13.74
20180318-12:00:00   1.386000 13.44
20180319-12:00:00   1.319000 12.5
20180320-12:00:00   1.239000 12.27
20180321-12:00:00   1.175000 11.45
20180322-12:00:00   1.115000 12.27
20180323-12:00:00   1.061000 13.25
20180324-12:00:00   1.240000 12.01
20180325-12:00:00   1.130000 12.24
20180326-12:00:00   1.144000 14.64
20180327-12:00:00   1.172000 13.81
20180328-12:00:00   1.222000 15.8
20180329-12:00:00   1.271000 15.09
20180330-12:00:00   1.325000 16.29
20180331-12:00:00   1.359000 15.76
20180401-12:00:00   1.379000 14.15
20180402-12:00:00   1.401000 15.61
20180403-12:00:00   1.421000 16.59
20180404-12:00:00   1.497000 17.19
20180405-12:00:00   1.458000 16.33
20180406-12:00:00   1.423000 15.27
20180407-12:00:00   1.343000 15.99
20180408-12:00:00   1.380000 14.71
20180409-12:00:00   1.342000 15.2
20180410-12:00:00   1.691000 14.64
20180411-12:00:00   3.383000 14.38
20180412-12:00:00   3.619000 14.04
20180413-12:00:00   4.229000 14.94
20180414-12:00:00   5.374000 15.24
20180415-12:00:00   9.847000 16.96
20180416-12:00:00   4.763000 16.62
20180417-12:00:00   5.179000 18.42
20180418-12:00:00   5.259000 19.06
20180419-12:00:00   5.138000 18.69
20180420-12:00:00   4.933000 17.71
20180421-12:00:00   4.677000 17.94
20180422-12:00:00   4.394000 17.64
20180423-12:00:00   4.073000 17.94
20180424-12:00:00   3.772000 19.7
20180425-12:00:00   3.464000 18.88
20180426-12:00:00   3.199000 18.91
20180427-12:00:00   2.932000 18.28
20180428-12:00:00   2.706000 18.69
20180429-12:00:00   2.488000 16.29
20180430-12:00:00   2.280000 16.14
20180501-12:00:00   2.110000 15.31
20180502-12:00:00   1.972000 15.05
20180503-12:00:00   1.845000 17.04
20180504-12:00:00   1.718000 17.38
20180505-12:00:00   1.668000 19.59
20180506-12:00:00   1.593000 18.69
20180507-12:00:00   1.524000 19.21
20180508-12:00:00   1.452000 18.69
20180509-12:00:00   1.406000 17.56
20180510-12:00:00   1.376000 17.9
20180511-12:00:00   1.355000 17.9
20180512-12:00:00   1.906000 16.66
20180513-12:00:00   1.945000 13.29
20180514-12:00:00   2.103000 15.54
20180515-12:00:00   2.345000 17
20180516-12:00:00   2.561000 17.64
20180517-12:00:00   2.689000 18.76
20180518-12:00:00   2.745000 18.76
20180519-12:00:00   2.758000 20.04
20180520-12:00:00   2.708000 19.06
20180521-12:00:00   2.593000 18.58
20180522-12:00:00   2.491000 19.66
20180523-12:00:00   2.343000 19.85
20180524-12:00:00   2.226000 20.71
20180525-12:00:00   2.088000 19.55
20180526-12:00:00   1.986000 20.04
20180527-12:00:00   1.869000 20.15
20180528-12:00:00   1.774000 21.24
20180529-12:00:00   1.688000 20.53
20180530-12:00:00   1.580000 21.2
20180531-12:00:00   1.509000 20.41
20180601-12:00:00   1.410000 21.54
20180602-12:00:00   1.328000 20.45
20180603-12:00:00   1.244000 19.66
20180604-12:00:00   1.175000 20.22
20180605-12:00:00   1.124000 21.12
20180606-12:00:00   1.131000 20.45
20180607-12:00:00   1.299000 19.81
20180608-12:00:00   1.118000 20.04
20180609-12:00:00   1.082000 21.46
20180610-12:00:00   1.064000 22.21
20180611-12:00:00   1.185000 22.33
20180612-12:00:00   1.048000 21.09
20180613-12:00:00   1.018000 21.91
20180614-12:00:00   0.994200 21.01
20180615-12:00:00   0.968400 21.69
20180616-12:00:00   0.951600 22.17
20180617-12:00:00   0.931500 22.33
20180618-12:00:00   0.904900 22.21
20180619-12:00:00   0.875800 22.7
20180620-12:00:00   0.868500 22.81
20180621-12:00:00   0.846100 22.85
20180622-12:00:00   0.816400 24.12
20180623-12:00:00   0.790000 21.84
20180624-12:00:00   0.765000 23.07
20180625-12:00:00   0.744100 23.15
20180626-12:00:00   0.716500 22.47
20180627-12:00:00   0.685400 23.19
20180628-12:00:00   0.669200 23.68
20180629-12:00:00   0.641900 23.38
20180630-12:00:00   0.635700 22.4
20180701-12:00:00   0.611600 23.41
20180702-12:00:00   0.603500 23.75
20180703-12:00:00   0.667800 24.91
20180704-12:00:00   0.633000 24.09
20180705-12:00:00   0.612500 24.39
20180706-12:00:00   0.678800 23.9
20180707-12:00:00   0.642600 24.54
20180708-12:00:00   0.626400 25.36
20180709-12:00:00   0.716300 25.03
20180710-12:00:00   0.641800 24.91
20180711-12:00:00   0.648400 24.69
20180712-12:00:00   0.659100 23.3
20180713-12:00:00   0.668800 24.09
20180714-12:00:00   0.674700 24.84
20180715-12:00:00   0.679900 24.8
20180716-12:00:00   0.748400 23.04
20180717-12:00:00   0.786800 24.35
20180718-12:00:00   0.810500 24.88
20180719-12:00:00   0.853800 24.72
20180720-12:00:00   0.872000 24.99
20180721-12:00:00   0.900700 24.31
20180722-12:00:00   0.959100 22.74
20180723-12:00:00   1.027000 23.53
20180724-12:00:00   1.129000 24.54
20180725-12:00:00   1.239000 25.17
20180726-12:00:00   1.351000 25.59
20180727-12:00:00   1.447000 24.8
20180728-12:00:00   1.516000 25.25
20180729-12:00:00   1.527000 25.36
20180730-12:00:00   1.525000 26.15
20180731-12:00:00   1.493000 26.3
20180801-12:00:00   1.445000 26.75
20180802-12:00:00   1.383000 27.8
20180803-12:00:00   1.311000 28.25
20180804-12:00:00   1.227000 28.14
20180805-12:00:00   1.166000 28.06
20180806-12:00:00   1.082000 26.9
20180807-12:00:00   1.023000 26.56
20180808-12:00:00   0.957500 26.11
20180809-12:00:00   0.952100 25.03
20180810-12:00:00   0.867600 23.08
20180811-12:00:00   0.819100 24.31
20180812-12:00:00   0.783900 24.69
20180813-12:00:00   0.742300 23.83
20180814-12:00:00   0.721800 24.69
20180815-12:00:00   0.703100 25.14
20180816-12:00:00   0.686900 25.03
20180817-12:00:00   0.702500 24.54
20180818-12:00:00   0.780800 23.45
20180819-12:00:00   0.800200 24.91
20180820-12:00:00   0.816900 25.66
20180821-12:00:00   0.862600 25.81
20180822-12:00:00   0.881700 24.91
20180823-12:00:00   0.898700 24.95
20180824-12:00:00   0.990100 25.25
20180825-12:00:00   0.941200 22.78
20180826-12:00:00   0.954900 22.21
20180827-12:00:00   0.940700 23.97
20180828-12:00:00   0.924300 24.95
20180829-12:00:00   0.918100 24.76
20180830-12:00:00   0.947900 23.64
20180831-12:00:00   0.957600 21.24
20180901-12:00:00   1.014000 23.22
20180902-12:00:00   1.039000 22.96
20180903-12:00:00   1.069000 22.47
20180904-12:00:00   1.097000 23.15
20180905-12:00:00   1.116000 22.55
20180906-12:00:00   1.168000 22.21
20180907-12:00:00   1.280000 22.93
20180908-12:00:00   1.419000 22.78
20180909-12:00:00   1.560000 23.41
20180910-12:00:00   1.711000 22.51
20180911-12:00:00   1.816000 24.12
20180912-12:00:00   1.888000 23.38
20180913-12:00:00   1.901000 23.94
20180914-12:00:00   1.892000 23.75
20180915-12:00:00   1.853000 23.9
20180916-12:00:00   1.776000 23.79
20180917-12:00:00   1.690000 23.3
20180918-12:00:00   1.624000 22.14
20180919-12:00:00   1.529000 23.07
20180920-12:00:00   1.430000 24.24
20180921-12:00:00   1.347000 23.34
20180922-12:00:00   1.287000 23.41
20180923-12:00:00   1.207000 24.35
20180924-12:00:00   1.131000 22.55
20180925-12:00:00   1.053000 21.5
20180926-12:00:00   0.991800 20.22
20180927-12:00:00   0.936400 20.22
20180928-12:00:00   0.878200 21.31
20180929-12:00:00   0.816900 22.29
20180930-12:00:00   0.782800 22.47
20181001-12:00:00   0.727800 19.59
20181002-12:00:00   0.695600 19.85
20181003-12:00:00   0.658400 21.5
20181004-12:00:00   0.627100 20.56
20181005-12:00:00   0.600700 20.34
20181006-12:00:00   0.629400 21.24
20181007-12:00:00   0.590300 17.9
20181008-12:00:00   0.603000 17.41
20181009-12:00:00   1.028000 19.17
20181010-12:00:00   0.836800 19.33
20181011-12:00:00   0.965400 20.6
20181012-12:00:00   1.147000 21.5
20181013-12:00:00   1.534000 21.2
20181014-12:00:00  51.340000 21.72
20181015-12:00:00  30.470000 18.99
20181016-12:00:00  11.310000 18.72
20181017-12:00:00   4.081000 18.95
20181018-12:00:00  10.630000 19.03
20181019-12:00:00   4.402000 20.79
20181020-12:00:00   5.213000 20.15
20181021-12:00:00   5.390000 20.08
20181022-12:00:00   5.297000 19.03
20181023-12:00:00   5.062000 18.31
20181024-12:00:00   4.790000 20.26
20181025-12:00:00   4.449000 19.81
20181026-12:00:00   4.121000 19.14
20181027-12:00:00   4.125000 14.75
20181028-12:00:00   3.950000 11.71
20181029-12:00:00   3.690000 11.83
20181030-12:00:00   3.884000 13.74
20181031-12:00:00  23.970000 15.31
20181101-12:00:00   3.388000 15.01
20181102-12:00:00   3.791000 15.8
20181103-12:00:00   4.112000 16.06
20181104-12:00:00   4.315000 17.83
20181105-12:00:00   4.580000 18.09
20181106-12:00:00   4.616000 15.5
20181107-12:00:00   4.629000 16.85
