HRU-id,lulc
867,urld
229,urhd
1108,urhd
1111,urhd
1429,urhd
1501,urhd
2293,urhd
60,frsd
50,frsd
5,frsd
16,frsd
19,frsd
26,frsd
27,frsd
42,frsd
44,frsd
45,frsd
46,frsd
98,frsd
99,frsd
102,frsd
103,frsd
104,frsd
105,frsd
106,frsd
107,frsd
108,frsd
118,frsd
119,frsd
120,frsd
126,frsd
127,frsd
128,frsd
129,frsd
130,frsd
133,frsd
134,frsd
135,frsd
136,frsd
138,frsd
147,frsd
148,frsd
149,frsd
150,frsd
151,frsd
152,frsd
153,frsd
154,frsd
155,frsd
156,frsd
163,frsd
164,frsd
165,frsd
166,frsd
167,frsd
168,frsd
169,frsd
170,frsd
171,frsd
178,frsd
179,frsd
180,frsd
181,frsd
182,frsd
183,frsd
192,frsd
293,frsd
294,frsd
295,frsd
296,frsd
297,frsd
268,frsd
311,frsd
312,frsd
307,frsd
308,frsd
309,frsd
310,frsd
313,frsd
314,frsd
328,frsd
329,frsd
330,frsd
331,frsd
335,frsd
327,frsd
348,frsd
364,frsd
388,frsd
389,frsd
393,frsd
394,frsd
395,frsd
450,frsd
463,frsd
477,frsd
478,frsd
491,frsd
497,frsd
499,frsd
500,frsd
513,frsd
527,frsd
539,frsd
540,frsd
660,frsd
661,frsd
662,frsd
663,frsd
667,frsd
668,frsd
669,frsd
670,frsd
678,frsd
679,frsd
680,frsd
681,frsd
682,frsd
683,frsd
684,frsd
692,frsd
693,frsd
708,frsd
709,frsd
715,frsd
720,frsd
721,frsd
722,frsd
723,frsd
728,frsd
729,frsd
730,frsd
733,frsd
735,frsd
736,frsd
779,frsd
777,frsd
741,frsd
742,frsd
743,frsd
744,frsd
749,frsd
752,frsd
758,frsd
759,frsd
760,frsd
761,frsd
767,frsd
768,frsd
769,frsd
770,frsd
771,frsd
810,frsd
811,frsd
804,frsd
778,frsd
788,frsd
795,frsd
799,frsd
809,frsd
834,frsd
827,frsd
913,frsd
971,frsd
940,frsd
1006,frsd
1007,frsd
949,frsd
954,frsd
955,frsd
976,frsd
977,frsd
1021,frsd
1022,frsd
1023,frsd
1024,frsd
1031,frsd
1032,frsd
1033,frsd
1034,frsd
1035,frsd
1036,frsd
1037,frsd
1053,frsd
1057,frsd
1058,frsd
1062,frsd
1063,frsd
1069,frsd
1071,frsd
1073,frsd
1077,frsd
1078,frsd
1107,frsd
1147,frsd
1157,frsd
1158,frsd
1159,frsd
1160,frsd
1161,frsd
1162,frsd
1163,frsd
1164,frsd
1165,frsd
1166,frsd
1172,frsd
1173,frsd
1206,frsd
1207,frsd
1212,frsd
1214,frsd
1215,frsd
1220,frsd
1228,frsd
1233,frsd
1291,frsd
1284,frsd
1292,frsd
1241,frsd
1251,frsd
1254,frsd
1255,frsd
1266,frsd
1267,frsd
1268,frsd
1296,frsd
1297,frsd
1298,frsd
1304,frsd
1305,frsd
1306,frsd
1307,frsd
1314,frsd
1315,frsd
1316,frsd
1317,frsd
1318,frsd
1327,frsd
1328,frsd
1329,frsd
1334,frsd
1335,frsd
1336,frsd
1340,frsd
1341,frsd
1346,frsd
1347,frsd
1348,frsd
1349,frsd
1350,frsd
1351,frsd
1356,frsd
1357,frsd
1359,frsd
1406,frsd
1420,frsd
1422,frsd
1428,frsd
1433,frsd
1438,frsd
1439,frsd
1440,frsd
1441,frsd
1454,frsd
1455,frsd
1456,frsd
1461,frsd
1462,frsd
1463,frsd
1515,frsd
1518,frsd
1519,frsd
1523,frsd
1566,frsd
1567,frsd
1562,frsd
1560,frsd
1561,frsd
1530,frsd
1535,frsd
1536,frsd
1576,frsd
1605,frsd
1606,frsd
1628,frsd
1635,frsd
1654,frsd
1655,frsd
1670,frsd
1639,frsd
1642,frsd
1643,frsd
1644,frsd
1646,frsd
1647,frsd
1648,frsd
1649,frsd
1673,frsd
1674,frsd
1675,frsd
1676,frsd
1677,frsd
1682,frsd
1683,frsd
1687,frsd
1688,frsd
1692,frsd
1693,frsd
1694,frsd
1695,frsd
1696,frsd
1699,frsd
1704,frsd
1707,frsd
1710,frsd
1714,frsd
1715,frsd
1716,frsd
1719,frsd
1722,frsd
1723,frsd
1724,frsd
1729,frsd
1730,frsd
1731,frsd
1732,frsd
1733,frsd
1734,frsd
1736,frsd
1739,frsd
1741,frsd
1742,frsd
1743,frsd
1746,frsd
1839,frsd
1840,frsd
1827,frsd
1828,frsd
1829,frsd
1779,frsd
1780,frsd
1774,frsd
1775,frsd
1767,frsd
1772,frsd
1781,frsd
1782,frsd
1783,frsd
1784,frsd
1785,frsd
1786,frsd
1787,frsd
1788,frsd
1789,frsd
1790,frsd
1791,frsd
1800,frsd
1801,frsd
1802,frsd
1803,frsd
1804,frsd
1805,frsd
1815,frsd
1816,frsd
1826,frsd
1849,frsd
1871,frsd
1879,frsd
1887,frsd
1889,frsd
1896,frsd
1897,frsd
1909,frsd
1915,frsd
1929,frsd
1930,frsd
1931,frsd
1933,frsd
1934,frsd
1935,frsd
1936,frsd
1943,frsd
1944,frsd
1945,frsd
1946,frsd
1947,frsd
1948,frsd
1949,frsd
1950,frsd
1951,frsd
1952,frsd
1962,frsd
1975,frsd
2033,frsd
2034,frsd
2037,frsd
2048,frsd
1989,frsd
1996,frsd
1997,frsd
1998,frsd
2005,frsd
2009,frsd
2013,frsd
2022,frsd
2049,frsd
2056,frsd
2059,frsd
2060,frsd
2061,frsd
2062,frsd
2063,frsd
2064,frsd
2065,frsd
2066,frsd
2069,frsd
2070,frsd
2080,frsd
2092,frsd
2093,frsd
2094,frsd
2146,frsd
2149,frsd
2150,frsd
2151,frsd
2152,frsd
2140,frsd
2143,frsd
2144,frsd
2160,frsd
2161,frsd
2166,frsd
