HRU_id,new_lulc
867,urld
229,urhd
1501,urhd
2293,urhd
60,frsd
61,frsd
49,frsd
50,frsd
5,frsd
16,frsd
19,frsd
20,frsd
26,frsd
27,frsd
35,frsd
36,frsd
42,frsd
44,frsd
45,frsd
46,frsd
62,frsd
63,frsd
69,frsd
70,frsd
102,frsd
103,frsd
104,frsd
106,frsd
107,frsd
108,frsd
118,frsd
119,frsd
126,frsd
127,frsd
128,frsd
129,frsd
130,frsd
133,frsd
135,frsd
136,frsd
137,frsd
138,frsd
147,frsd
148,frsd
149,frsd
150,frsd
151,frsd
152,frsd
153,frsd
154,frsd
155,frsd
156,frsd
163,frsd
164,frsd
165,frsd
166,frsd
167,frsd
168,frsd
169,frsd
170,frsd
171,frsd
178,frsd
179,frsd
180,frsd
181,frsd
182,frsd
183,frsd
192,frsd
201,frsd
202,frsd
203,frsd
204,frsd
205,frsd
206,frsd
209,frsd
210,frsd
211,frsd
215,frsd
217,frsd
218,frsd
219,frsd
220,frsd
221,frsd
222,frsd
230,frsd
234,frsd
293,frsd
294,frsd
295,frsd
296,frsd
297,frsd
281,frsd
282,frsd
268,frsd
269,frsd
283,frsd
284,frsd
258,frsd
259,frsd
260,frsd
266,frsd
239,frsd
240,frsd
243,frsd
244,frsd
245,frsd
246,frsd
247,frsd
311,frsd
312,frsd
307,frsd
308,frsd
309,frsd
310,frsd
313,frsd
314,frsd
315,frsd
316,frsd
317,frsd
328,frsd
329,frsd
330,frsd
331,frsd
332,frsd
333,frsd
334,frsd
335,frsd
327,frsd
344,frsd
348,frsd
349,frsd
364,frsd
380,frsd
381,frsd
382,frsd
383,frsd
384,frsd
386,frsd
387,frsd
388,frsd
389,frsd
391,frsd
392,frsd
393,frsd
394,frsd
395,frsd
396,frsd
431,frsd
436,frsd
439,frsd
397,frsd
398,frsd
403,frsd
404,frsd
406,frsd
407,frsd
408,frsd
409,frsd
410,frsd
411,frsd
412,frsd
413,frsd
414,frsd
415,frsd
416,frsd
417,frsd
418,frsd
420,frsd
421,frsd
422,frsd
428,frsd
450,frsd
452,frsd
545,frsd
469,frsd
477,frsd
478,frsd
491,frsd
497,frsd
498,frsd
499,frsd
500,frsd
506,frsd
507,frsd
513,frsd
527,frsd
539,frsd
540,frsd
562,frsd
563,frsd
564,frsd
565,frsd
568,frsd
574,frsd
575,frsd
578,frsd
579,frsd
606,frsd
596,frsd
597,frsd
617,frsd
618,frsd
620,frsd
622,frsd
626,frsd
627,frsd
628,frsd
632,frsd
633,frsd
634,frsd
635,frsd
637,frsd
638,frsd
641,frsd
643,frsd
646,frsd
647,frsd
648,frsd
651,frsd
652,frsd
653,frsd
654,frsd
655,frsd
660,frsd
661,frsd
662,frsd
663,frsd
667,frsd
668,frsd
669,frsd
670,frsd
678,frsd
679,frsd
680,frsd
681,frsd
682,frsd
683,frsd
684,frsd
692,frsd
693,frsd
709,frsd
715,frsd
720,frsd
721,frsd
722,frsd
723,frsd
728,frsd
729,frsd
730,frsd
733,frsd
735,frsd
736,frsd
779,frsd
777,frsd
741,frsd
742,frsd
743,frsd
744,frsd
745,frsd
749,frsd
752,frsd
758,frsd
759,frsd
760,frsd
761,frsd
767,frsd
768,frsd
769,frsd
770,frsd
771,frsd
810,frsd
811,frsd
804,frsd
778,frsd
795,frsd
799,frsd
809,frsd
834,frsd
841,frsd
815,frsd
818,frsd
824,frsd
827,frsd
852,frsd
877,frsd
878,frsd
879,frsd
880,frsd
881,frsd
882,frsd
892,frsd
893,frsd
897,frsd
898,frsd
900,frsd
901,frsd
902,frsd
903,frsd
904,frsd
905,frsd
906,frsd
907,frsd
908,frsd
910,frsd
911,frsd
912,frsd
913,frsd
914,frsd
915,frsd
920,frsd
932,frsd
933,frsd
934,frsd
971,frsd
940,frsd
1006,frsd
1007,frsd
949,frsd
954,frsd
955,frsd
976,frsd
977,frsd
986,frsd
1021,frsd
1022,frsd
1023,frsd
1024,frsd
1031,frsd
1032,frsd
1033,frsd
1034,frsd
1035,frsd
1036,frsd
1037,frsd
1057,frsd
1058,frsd
1062,frsd
1063,frsd
1069,frsd
1070,frsd
1071,frsd
1072,frsd
1073,frsd
1074,frsd
1075,frsd
1077,frsd
1078,frsd
1079,frsd
1105,frsd
1106,frsd
1107,frsd
1108,frsd
1109,frsd
1110,frsd
1111,frsd
1112,frsd
1113,frsd
1114,frsd
1115,frsd
1116,frsd
1119,frsd
1125,frsd
1126,frsd
1127,frsd
1128,frsd
1129,frsd
1136,frsd
1147,frsd
1148,frsd
1157,frsd
1158,frsd
1159,frsd
1160,frsd
1161,frsd
1162,frsd
1163,frsd
1164,frsd
1165,frsd
1166,frsd
1170,frsd
1171,frsd
1172,frsd
1173,frsd
1177,frsd
1179,frsd
1189,frsd
1190,frsd
1206,frsd
1207,frsd
1208,frsd
1209,frsd
1210,frsd
1211,frsd
1212,frsd
1213,frsd
1214,frsd
1215,frsd
1219,frsd
1220,frsd
1228,frsd
1233,frsd
1291,frsd
1284,frsd
1292,frsd
1281,frsd
1282,frsd
1241,frsd
1251,frsd
1254,frsd
1255,frsd
1266,frsd
1267,frsd
1268,frsd
1269,frsd
1296,frsd
1297,frsd
1298,frsd
1304,frsd
1305,frsd
1306,frsd
1307,frsd
1315,frsd
1316,frsd
1317,frsd
1318,frsd
1327,frsd
1328,frsd
1329,frsd
1330,frsd
1332,frsd
1333,frsd
1334,frsd
1335,frsd
1336,frsd
1337,frsd
1340,frsd
1341,frsd
1346,frsd
1347,frsd
1348,frsd
1349,frsd
1350,frsd
1351,frsd
1355,frsd
1356,frsd
1357,frsd
1359,frsd
1392,frsd
1393,frsd
1394,frsd
1395,frsd
1402,frsd
1388,frsd
1389,frsd
