"date","water_temp"
2019-06-01,19.1
2019-06-02,19.36
2019-06-03,19.62
2019-06-04,19.81
2019-06-05,19.25
2019-06-06,17.04
2019-06-07,20.79
2019-06-08,18.2
2019-06-09,19.66
2019-06-10,20.79
2019-06-11,14.08
2019-06-12,15.65
2019-06-13,17.11
2019-06-14,19.17
2019-06-15,19.1
2019-06-16,18.95
2019-06-17,20.19
2019-06-18,20.3
2019-06-19,21.2
2019-06-20,22.36
2019-06-21,21.76
2019-06-22,20.9
2019-06-23,22.03
2019-06-24,22.78
2019-06-25,23.3
2019-06-26,24.54
2019-06-27,22.92
2019-06-28,25.81
2019-06-29,24.05
2019-06-30,25.03
2019-07-01,23.75
2019-07-02,23.56
2019-07-03,24.09
2019-07-04,23.6
2019-07-05,23.53
2019-07-06,23.79
2019-07-07,24.88
2019-07-08,23.83
2019-07-09,22.55
2019-07-10,23.26
2019-07-11,23.71
2019-07-12,23.71
2019-07-13,24.2
2019-07-14,23.53
2019-07-15,23.45
2019-07-16,22.25
2019-07-17,23.38
2019-07-18,22.44
2019-07-19,22.51
2019-07-20,23.19
2019-07-21,23.64
2019-07-22,24.24
2019-07-23,23.75
2019-07-24,23.9
2019-07-25,23.56
2019-07-26,24.88
2019-07-27,20.9
2019-07-28,20.6
2019-07-29,21.46
2019-07-30,23.34
2019-07-31,21.84
2019-08-01,23.6
2019-08-02,23.26
2019-08-03,23.26
2019-08-04,24.05
2019-08-05,23.86
2019-08-06,22.78
2019-08-07,23.86
2019-08-08,24.5
2019-08-09,25.85
2019-08-10,24.88
2019-08-11,23.53
2019-08-12,21.91
2019-08-13,20.34
2019-08-14,21.31
2019-08-15,21.16
2019-08-16,23.34
2019-08-17,23.9
2019-08-18,23.49
2019-08-19,24.05
2019-08-20,22.1
2019-08-21,20.15
2019-08-22,22.74
2019-08-23,21.69
2019-08-24,22.36
2019-08-25,22.78
2019-08-26,22.29
2019-08-27,21.5
2019-08-28,22.7
2019-08-29,23.26
2019-08-30,23.97
2019-08-31,23.86
2019-09-01,22.7
2019-09-02,21.35
2019-09-03,21.35
2019-09-04,20.3
2019-09-05,20.71
2019-09-06,18.91
2019-09-07,19.47
2019-09-08,19.25
2019-09-09,20.56
2019-09-10,16.7
2019-09-11,20.19
2019-09-12,21.2
2019-09-13,20.45
2019-09-14,22.81
2019-09-15,22.03
2019-09-16,20.53
2019-09-17,21.05
2019-09-18,20.71
2019-09-19,21.24
2019-09-20,20.94
2019-09-21,18.84
2019-09-22,21.09
2019-09-23,20.04
2019-09-24,20.94
2019-09-25,20.34
2019-09-26,19.74
2019-09-27,20.56
2019-09-28,20.3
2019-09-29,20.9
2019-09-30,20.53
2019-10-01,20.22
2019-10-02,19.7
2019-10-03,18.76
2019-10-04,18.84
2019-10-05,18.65
2019-10-06,18.58
2019-10-07,18.46
2019-10-08,18.61
2019-10-09,18.54
2019-10-10,17.38
2019-10-11,18.99
2019-10-12,20.56
2019-10-13,20.97
2019-10-14,21.2
2019-10-15,16.59
2019-10-16,16.85
2019-10-17,16.74
2019-10-18,17.94
2019-10-19,18.35
2019-10-20,19.55
2019-10-21,15.65
2019-10-22,17.49
2019-10-23,16.1
2019-10-24,16.1
2019-10-25,16.33
2019-10-26,16.33
2019-10-27,16.59
2019-10-28,15.73
2019-10-29,17.04
2019-10-30,17.26
2019-10-31,17.56
2019-11-01,16.14
2019-11-02,18.58
2019-11-03,15.54
2019-11-04,16.17
2019-11-05,14.64
2019-11-06,12.95
2019-11-07,12.84
2019-11-08,11.49
2019-11-09,11.34
2019-11-10,12.09
2019-11-11,12.2
2019-11-12,11.45
2019-11-13,11.98
2019-11-14,10.55
2019-11-15,10.18
2019-11-16,10.18
2019-11-17,9.8
2019-11-18,10.66
2019-11-19,9.688
2019-11-20,9.688
2019-11-21,11.64
2019-11-22,11.86
2019-11-23,14.71
2019-11-24,12.91
2019-11-25,12.61
2019-11-26,13.17
2019-11-27,14.64
2019-11-28,14.53
2019-11-29,14.38
2019-11-30,15.05
2019-12-01,13.4
2019-12-02,11.86
2019-12-03,9.35
2019-12-04,13.1
2019-12-05,12.5
2019-12-06,12.84
2019-12-07,11.97
2019-12-08,11.34
2019-12-09,12.69
2019-12-10,11.04
2019-12-11,9.95
2019-12-12,9.65
2019-12-13,13.62
2019-12-14,13.21
2019-12-15,12.12
2019-12-16,11.26
2019-12-17,14.56
2019-12-18,14.26
2019-12-19,13.14
2019-12-20,16.14
2019-12-21,15.8
2019-12-22,14.34
2019-12-23,12.54
2019-12-24,12.54
2019-12-25,13.17
2019-12-26,12.31
2019-12-27,12.35
2019-12-28,10.85
2019-12-29,10.55
2019-12-30,10.4
2019-12-31,11.3
2020-01-01,9.95
2020-01-02,9.913
2020-01-03,9.95
2020-01-04,11.04
2020-01-05,11.07
2020-01-06,9.95
2020-01-07,11.11
2020-01-08,11.6
2020-01-09,10.4
2020-01-10,9.913
2020-01-11,10.25
2020-01-12,9.837
2020-01-13,8.637
2020-01-14,10.25
2020-01-15,11
2020-01-16,10.4
2020-01-17,12.88
2020-01-18,10.7
2020-01-19,11.3
2020-01-20,9.762
2020-01-21,11.49
2020-01-22,13.29
2020-01-23,12.27
2020-01-24,11.64
2020-01-25,11.45
2020-01-26,13.02
2020-01-27,11.23
2020-01-28,12.05
2020-01-29,11.26
2020-01-30,13.48
2020-01-31,14.64
2020-02-01,13.74
2020-02-02,15.35
2020-02-03,16.17
2020-02-04,13.4
