SWAT_variable;Description;file
PRECIP;;HRU
SNOFALL;;HRU
SNOMELT;;HRU
IRR;;HRU
PET;;HRU
ET;;HRU
SW_END;;HRU
PERC;;HRU
GW_RCHG;;HRU
DA_RCHG;;HRU
REVAP;;HRU
SA_IRR;;HRU
DA_IRR;;HRU
SA_ST;;HRU
DA_ST;;HRU
SURQ_GEN;;HRU
SURQ_CNT;;HRU
TLOSS;;HRU
LATQ;;HRU
GW_Q;;HRU
WYLD;;HRU
DAILYCN;;HRU
TMP_AV;;HRU
TMP_MX;;HRU
TMP_MIN;;HRU
SOL_TMP;;HRU
SOLAR;;HRU
SYLD;;HRU
USLE;;HRU
N_APP;;HRU
P_APP;;HRU
NAUTO;;HRU
PAUTO;;HRU
NGRZ;;HRU
PGRZ;;HRU
CFERTN;;HRU
CFERTP;;HRU
NRAIN;;HRU
NFIX;;HRU
F-MN;;HRU
A-MN;;HRU
A-SN;;HRU
AO-LP;;HRU
L-AP;;HRU
A-SP;;HRU
DNIT;;HRU
NUP;;HRU
PUP;;HRU
ORGN;;HRU
ORGP;;HRU
SEDP;;HRU
NSURQ;;HRU
NLATQ;;HRU
NO3L;;HRU
NO3GW;;HRU
SOLP;;HRU
P_GW;;HRU
W_STRS;;HRU
TMP_STRS;;HRU
N_STRS;;HRU
P_STRS;;HRU
BIOM;;HRU
LAI;;HRU
YLD;;HRU
BACTP;;HRU
BACTLP;;HRU
WTAB;;HRU
WAT_TBL;;HRU
SNO_HRU;;HRU
CMUP_KGH;;HRU
CMTOT_KGH;;HRU
QTILE;;HRU
TILENO3;;HRU
LATNO3;;HRU
GW_QDEEP;;HRU
LATQCNT;;HRU
VAP_TILE;;HRU
PRECIP;;SUB
SNOMELT;;SUB
PET;;SUB
ET;;SUB
SW;;SUB
PERC;;SUB
SURQ;;SUB
GW_Q;;SUB
WYLD;;SUB
SYLD;;SUB
ORGN;;SUB
ORGP;;SUB
NSURQ;;SUB
SOLP;;SUB
SEDP;;SUB
FLOW_IN;;RCH
FLOW_OUT;;RCH
EVAP;;RCH
TLOSS;;RCH
SED_IN;;RCH
SED_OUT;;RCH
SEDCONC;;RCH
ORGN_IN;;RCH
ORGN_OUT;;RCH
ORGP_IN;;RCH
ORGP_OUT;;RCH
NO3_IN;;RCH
NO3_OUT;;RCH
NH4_IN;;RCH
NH4_OUT;;RCH
NO2_IN;;RCH
NO2_OUT;;RCH
MINP_IN;;RCH
MINP_OUT;;RCH
ALGAE_IN;;RCH
ALGAE_OUT;;RCH
CBOD_IN;;RCH
CBOD_OUT;;RCH
DISOX_IN;;RCH
DISOX_OUT;;RCH
SOLPST_IN;;RCH
SOLPST_OUT;;RCH
SORPST_IN;;RCH
SORPST_OUT;;RCH
REACTPST;;RCH
VOLPST;;RCH
SETTLPST;;RCH
RESUSP_PST;;RCH
DIFFUSEPST;;RCH
REACBEDPST;;RCH
BURYPST;;RCH
BED_PST;;RCH
BACTP_OUT;;RCH
BACTLP_OUT;;RCH
CMETAL#1;;RCH
CMETAL#2;;RCH
CMETAL#3;;RCH
SED_IN;;SED
SED_OUT;;SED
SAND_IN;;SED
SAND_OUT;;SED
SILT_IN;;SED
SILT_OUT;;SED
CLAY_IN;;SED
CLAY_OUT;;SED
SMAG_IN;;SED
SMAG_OUT;;SED
LAG_IN;;SED
LAG_OUT;;SED
GRA_IN;;SED
GRA_OUT;;SED
CH_BNK;;SED
CH_BED;;SED
CH_DEP;;SED
FP_DEP;;SED
TSS;;SED
